Stage,Round,Date,Team 1,FT,Team 2
Regular Season,21,Sat Jan 23 2021,Oud-Heverlee Leuven,,KAA Gent
Regular Season,22,Wed Jan 27 2021,K. Beerschot VA,,KV Kortrijk
Regular Season,22,Wed Jan 27 2021,Cercle Brugge,,Club Brugge
Regular Season,22,Wed Jan 27 2021,KAA Gent,,Sint-Truidense VV
Regular Season,22,Wed Jan 27 2021,KAS Eupen,,Royal Antwerp FC
Regular Season,22,Wed Jan 27 2021,KRC Genk,,SV Zulte Waregem
Regular Season,22,Wed Jan 27 2021,KV Oostende,,Standard Liège
Regular Season,22,Wed Jan 27 2021,Royal Excel Mouscron,,RSC Anderlecht
Regular Season,22,Wed Jan 27 2021,Sporting Charleroi,,Oud-Heverlee Leuven
Regular Season,22,Wed Jan 27 2021,Waasland-Beveren,,KV Mechelen
Regular Season,23,Sat Jan 30 2021,Royal Antwerp FC,,Waasland-Beveren
Regular Season,23,Sat Jan 30 2021,Club Brugge,,Standard Liège
Regular Season,23,Sat Jan 30 2021,KAS Eupen,,Royal Excel Mouscron
Regular Season,23,Sat Jan 30 2021,KV Kortrijk,,Sporting Charleroi
Regular Season,23,Sat Jan 30 2021,Sint-Truidense VV,,Cercle Brugge
Regular Season,23,Sat Jan 30 2021,Oud-Heverlee Leuven,,K. Beerschot VA
Regular Season,23,Sat Jan 30 2021,RSC Anderlecht,,KAA Gent
Regular Season,23,Sat Jan 30 2021,SV Zulte Waregem,,KV Oostende
Regular Season,23,Sat Jan 30 2021,KV Mechelen,,KRC Genk
Regular Season,24,Sat Feb 6 2021,KAA Gent,,KAS Eupen
Regular Season,24,Sat Feb 6 2021,K. Beerschot VA,,Royal Antwerp FC
Regular Season,24,Sat Feb 6 2021,Cercle Brugge,,KV Mechelen
Regular Season,24,Sat Feb 6 2021,KRC Genk,,RSC Anderlecht
Regular Season,24,Sat Feb 6 2021,KV Oostende,,Sint-Truidense VV
Regular Season,24,Sat Feb 6 2021,Royal Excel Mouscron,,KV Kortrijk
Regular Season,24,Sat Feb 6 2021,Sporting Charleroi,,SV Zulte Waregem
Regular Season,24,Sat Feb 6 2021,Standard Liège,,Oud-Heverlee Leuven
Regular Season,24,Sat Feb 6 2021,Waasland-Beveren,,Club Brugge
Regular Season,25,Wed Feb 10 2021,Royal Antwerp FC,,Cercle Brugge
Regular Season,25,Wed Feb 10 2021,Club Brugge,,KV Oostende
Regular Season,25,Wed Feb 10 2021,KAS Eupen,,K. Beerschot VA
Regular Season,25,Wed Feb 10 2021,KRC Genk,,KAA Gent
Regular Season,25,Wed Feb 10 2021,KV Kortrijk,,Sint-Truidense VV
Regular Season,25,Wed Feb 10 2021,KV Mechelen,,Standard Liège
Regular Season,25,Wed Feb 10 2021,Royal Excel Mouscron,,Waasland-Beveren
Regular Season,25,Wed Feb 10 2021,RSC Anderlecht,,Sporting Charleroi
Regular Season,25,Wed Feb 10 2021,SV Zulte Waregem,,Oud-Heverlee Leuven
Regular Season,26,Sat Feb 13 2021,KV Oostende,,KRC Genk
Regular Season,26,Sat Feb 13 2021,K. Beerschot VA,,KV Mechelen
Regular Season,26,Sat Feb 13 2021,Cercle Brugge,,RSC Anderlecht
Regular Season,26,Sat Feb 13 2021,KAA Gent,,Royal Excel Mouscron
Regular Season,26,Sat Feb 13 2021,Oud-Heverlee Leuven,,KV Kortrijk
Regular Season,26,Sat Feb 13 2021,Sporting Charleroi,,Club Brugge
Regular Season,26,Sat Feb 13 2021,Standard Liège,,Royal Antwerp FC
Regular Season,26,Sat Feb 13 2021,Sint-Truidense VV,,SV Zulte Waregem
Regular Season,26,Sat Feb 13 2021,Waasland-Beveren,,KAS Eupen
Regular Season,27,Sat Feb 20 2021,Waasland-Beveren,,Sporting Charleroi
Regular Season,27,Sat Feb 20 2021,Club Brugge,,Oud-Heverlee Leuven
Regular Season,27,Sat Feb 20 2021,KAS Eupen,,KV Oostende
Regular Season,27,Sat Feb 20 2021,KRC Genk,,K. Beerschot VA
Regular Season,27,Sat Feb 20 2021,KV Mechelen,,KAA Gent
Regular Season,27,Sat Feb 20 2021,Royal Excel Mouscron,,Cercle Brugge
Regular Season,27,Sat Feb 20 2021,RSC Anderlecht,,KV Kortrijk
Regular Season,27,Sat Feb 20 2021,SV Zulte Waregem,,Standard Liège
Regular Season,27,Sat Feb 20 2021,Royal Antwerp FC,,Sint-Truidense VV
Regular Season,28,Sat Feb 27 2021,K. Beerschot VA,,Royal Excel Mouscron
Regular Season,28,Sat Feb 27 2021,Cercle Brugge,,Waasland-Beveren
Regular Season,28,Sat Feb 27 2021,KAA Gent,,Club Brugge
Regular Season,28,Sat Feb 27 2021,KV Kortrijk,,SV Zulte Waregem
Regular Season,28,Sat Feb 27 2021,KV Oostende,,KV Mechelen
Regular Season,28,Sat Feb 27 2021,Oud-Heverlee Leuven,,Royal Antwerp FC
Regular Season,28,Sat Feb 27 2021,Sporting Charleroi,,KRC Genk
Regular Season,28,Sat Feb 27 2021,Standard Liège,,RSC Anderlecht
Regular Season,28,Sat Feb 27 2021,Sint-Truidense VV,,KAS Eupen
Regular Season,29,Sat Mar 6 2021,Royal Antwerp FC,,KV Kortrijk
Regular Season,29,Sat Mar 6 2021,Club Brugge,,SV Zulte Waregem
Regular Season,29,Sat Mar 6 2021,KAA Gent,,KV Oostende
Regular Season,29,Sat Mar 6 2021,KAS Eupen,,Oud-Heverlee Leuven
Regular Season,29,Sat Mar 6 2021,KRC Genk,,Cercle Brugge
Regular Season,29,Sat Mar 6 2021,Royal Excel Mouscron,,Standard Liège
Regular Season,29,Sat Mar 6 2021,RSC Anderlecht,,KV Mechelen
Regular Season,29,Sat Mar 6 2021,Sporting Charleroi,,Sint-Truidense VV
Regular Season,29,Sat Mar 6 2021,Waasland-Beveren,,K. Beerschot VA
Regular Season,30,Sat Mar 13 2021,K. Beerschot VA,,KAA Gent
Regular Season,30,Sat Mar 13 2021,Cercle Brugge,,KAS Eupen
Regular Season,30,Sat Mar 13 2021,KV Kortrijk,,KRC Genk
Regular Season,30,Sat Mar 13 2021,KV Mechelen,,Royal Antwerp FC
Regular Season,30,Sat Mar 13 2021,KV Oostende,,Sporting Charleroi
Regular Season,30,Sat Mar 13 2021,Oud-Heverlee Leuven,,RSC Anderlecht
Regular Season,30,Sat Mar 13 2021,Standard Liège,,Waasland-Beveren
Regular Season,30,Sat Mar 13 2021,SV Zulte Waregem,,Royal Excel Mouscron
Regular Season,30,Sat Mar 13 2021,Sint-Truidense VV,,Club Brugge
Regular Season,31,Sat Mar 20 2021,KRC Genk,,Standard Liège
Regular Season,31,Sat Mar 20 2021,K. Beerschot VA,,Sporting Charleroi
Regular Season,31,Sat Mar 20 2021,Club Brugge,,Royal Antwerp FC
Regular Season,31,Sat Mar 20 2021,KAA Gent,,Cercle Brugge
Regular Season,31,Sat Mar 20 2021,Waasland-Beveren,,Sint-Truidense VV
Regular Season,31,Sat Mar 20 2021,KV Mechelen,,Oud-Heverlee Leuven
Regular Season,31,Sat Mar 20 2021,Royal Excel Mouscron,,KV Oostende
Regular Season,31,Sat Mar 20 2021,RSC Anderlecht,,SV Zulte Waregem
Regular Season,31,Sat Mar 20 2021,KAS Eupen,,KV Kortrijk
Regular Season,32,Sat Apr 3 2021,Standard Liège,,KAA Gent
Regular Season,32,Sat Apr 3 2021,Cercle Brugge,,K. Beerschot VA
Regular Season,32,Sat Apr 3 2021,Royal Antwerp FC,,RSC Anderlecht
Regular Season,32,Sat Apr 3 2021,KV Kortrijk,,Club Brugge
Regular Season,32,Sat Apr 3 2021,KV Oostende,,Waasland-Beveren
Regular Season,32,Sat Apr 3 2021,Oud-Heverlee Leuven,,KRC Genk
Regular Season,32,Sat Apr 3 2021,Sporting Charleroi,,Royal Excel Mouscron
Regular Season,32,Sat Apr 3 2021,SV Zulte Waregem,,KAS Eupen
Regular Season,32,Sat Apr 3 2021,Sint-Truidense VV,,KV Mechelen
Regular Season,33,Sat Apr 10 2021,KV Mechelen,,SV Zulte Waregem
Regular Season,33,Sat Apr 10 2021,K. Beerschot VA,,KV Oostende
Regular Season,33,Sat Apr 10 2021,Cercle Brugge,,Oud-Heverlee Leuven
Regular Season,33,Sat Apr 10 2021,KAA Gent,,Sporting Charleroi
Regular Season,33,Sat Apr 10 2021,Waasland-Beveren,,KV Kortrijk
Regular Season,33,Sat Apr 10 2021,KRC Genk,,Sint-Truidense VV
Regular Season,33,Sat Apr 10 2021,Royal Excel Mouscron,,Royal Antwerp FC
Regular Season,33,Sat Apr 10 2021,RSC Anderlecht,,Club Brugge
Regular Season,33,Sat Apr 10 2021,KAS Eupen,,Standard Liège
Regular Season,34,Sat Apr 17 2021,Royal Antwerp FC,,KRC Genk
Regular Season,34,Sat Apr 17 2021,Club Brugge,,Royal Excel Mouscron
Regular Season,34,Sat Apr 17 2021,KV Kortrijk,,KV Mechelen
Regular Season,34,Sat Apr 17 2021,KV Oostende,,Cercle Brugge
Regular Season,34,Sat Apr 17 2021,Oud-Heverlee Leuven,,Waasland-Beveren
Regular Season,34,Sat Apr 17 2021,Sporting Charleroi,,KAS Eupen
Regular Season,34,Sat Apr 17 2021,Standard Liège,,K. Beerschot VA
Regular Season,34,Sat Apr 17 2021,SV Zulte Waregem,,KAA Gent
Regular Season,34,Sat Apr 17 2021,Sint-Truidense VV,,RSC Anderlecht
